sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
PlatantheraHuronensis,Platanthera huronensis,Platanthera huronensis,Platanthera.huronensis,Species,324,169,TRUE,TRUE,TRUE,FALSE,TRUE,Native
PlatantheraObtusata,Platanthera obtusata,Platanthera obtusata,Platanthera.obtusata,Species,102,58,TRUE,TRUE,FALSE,FALSE,TRUE,Native
PlatantheraOrbiculata,Platanthera orbiculata,Platanthera orbiculata,Platanthera.orbiculata,Species,117,75,TRUE,TRUE,FALSE,FALSE,TRUE,Native
Poa,Poa,Poa,Poa,Genus,43,17,TRUE,FALSE,TRUE,FALSE,FALSE,NA
PoaAlpina,Poa alpina,Poa alpina,Poa.alpina,Species,5,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PoaAnnua,Poa annua,Poa annua,Poa.annua,Species,9,4,TRUE,FALSE,FALSE,FALSE,FALSE,Exotic
PoaArctica,Poa arctica,Poa arctica,Poa.arctica,Species,6,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PoaArida,Poa arida,Poa arida,Poa.arida,Species,93,36,FALSE,FALSE,TRUE,TRUE,TRUE,Native
PoaCompressa,Poa compressa,Poa compressa,Poa.compressa,Species,53,23,TRUE,FALSE,TRUE,FALSE,FALSE,Exotic
PoaCusickii,Poa cusickii,Poa cusickii,Poa.cusickii,Species,10,4,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PoaGlauca,Poa glauca,Poa glauca,Poa.glauca,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PoaInterior,Poa palustris/interior/nemoralis,Poa palustris/interior/nemoralis,Poa.palustris.interior.nemoralis,Species,884,347,TRUE,TRUE,TRUE,TRUE,TRUE,Native/Exotic
PoaPratensis,Poa pratensis,Poa pratensis,Poa.pratensis,Species,1545,522,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PoaSecunda,Poa secunda,Poa secunda,Poa.secunda,Species,177,64,TRUE,FALSE,TRUE,TRUE,TRUE,Native
Polemonium,Polemonium,Polemonium,Polemonium,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PolemoniumAcutiflorum,Polemonium acutiflorum,Polemonium acutiflorum,Polemonium.acutiflorum,Species,96,47,TRUE,TRUE,FALSE,FALSE,TRUE,Native
PolemoniumPulcherrimum,Polemonium pulcherrimum,Polemonium pulcherrimum,Polemonium.pulcherrimum,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PolygalaSenega,Polygala senega,Polygala senega,Polygala.senega,Species,9,5,FALSE,FALSE,FALSE,FALSE,FALSE,Native
Polygonum,Polygonum,Polygonum,Polygonum,Genus,23,9,FALSE,FALSE,TRUE,FALSE,FALSE,NA
PolygonumAviculare,Polygonum aviculare,Polygonum aviculare,Polygonum.aviculare,Species,213,101,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
PolygonumErectum,Polygonum erectum,Polygonum erectum,Polygonum.erectum,Species,40,20,TRUE,FALSE,TRUE,FALSE,FALSE,Native
PolygonumRamosissimum,Polygonum ramosissimum,Polygonum ramosissimum,Polygonum.ramosissimum,Species,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PolypodiumHesperium,Polypodium,Polypodium,Polypodium,Species,33,14,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PolypogonMonspeliensis,Polypogon monspeliensis,Polypogon monspeliensis,Polypogon.monspeliensis,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
Populus,Populus,Populus,Populus,Genus,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PopulusAngustifolia,Populus angustifolia,Populus angustifolia,Populus.angustifolia,Species,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
